student_id,weakest_subjects,lowest_average_score
S001,"PHYSIOLOGY, PHARMACOLOGY, BIOCHEMISTRY",14.75
S002,"OBGYN, PHARMACOLOGY, PEDIA",13.0
S003,"IM, SURGERY, MICROBIOLOGY",17.8
S004,"PHARMACOLOGY, PATHOLOGY, SURGERY",17.0
S005,"PHARMACOLOGY, PREV MED, PHYSIOLOGY",12.0
S006,"PHARMACOLOGY, MICROBIOLOGY, BIOCHEMISTRY",15.67
S007,"PEDIA, PATHOLOGY, MICROBIOLOGY",16.0
S008,"ANATOMY, MICROBIOLOGY, BIOCHEMISTRY",10.0
S009,"MICROBIOLOGY, PHARMACOLOGY, OBGYN",21.67
S010,"PEDIA, PATHOLOGY, PHYSIOLOGY",8.0
S011,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S012,"MICROBIOLOGY, PREV MED, PEDIA",16.0
S013,"IM, PHARMACOLOGY, SURGERY",17.0
S014,"OBGYN, ANATOMY, PREV MED",14.5
S015,"PHARMACOLOGY, MICROBIOLOGY, IM",8.0
S016,"PHARMACOLOGY, ANATOMY, PATHOLOGY",10.0
S017,"PHARMACOLOGY, PATHOLOGY, IM",20.0
S018,"OBGYN, PHYSIOLOGY, LEGAL MED",30.5
S019,"PHYSIOLOGY, MICROBIOLOGY, SURGERY",14.33
S020,"OBGYN, BIOCHEMISTRY, PHARMACOLOGY",33.0
S021,"PHARMACOLOGY, MICROBIOLOGY, PATHOLOGY",18.25
S022,"PHARMACOLOGY, IM, MICROBIOLOGY",12.0
S023,"BIOCHEMISTRY, ANATOMY, IM",14.0
S024,"SURGERY, PATHOLOGY, PEDIA",19.0
S025,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S026,"PHARMACOLOGY, IM, OBGYN",18.75
S027,"IM, OBGYN, PHYSIOLOGY",26.2
S028,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S029,"ANATOMY, OBGYN, BIOCHEMISTRY",7.0
S030,"PHYSIOLOGY, ANATOMY, BIOCHEMISTRY",13.0
S031,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S032,"PREV MED, IM, LEGAL MED",13.0
S033,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S034,"PHARMACOLOGY, PEDIA, BIOCHEMISTRY",13.0
S035,"MICROBIOLOGY, ANATOMY, BIOCHEMISTRY",18.0
S036,"ANATOMY, PHYSIOLOGY, PATHOLOGY",21.67
S037,"ANATOMY, BIOCHEMISTRY, PHYSIOLOGY",
S038,"IM, PHARMACOLOGY, PEDIA",11.0
