student_id,ANATOMY,BIOCHEMISTRY,PHYSIOLOGY,PATHOLOGY,MICROBIOLOGY,PHARMACOLOGY,IM,SURGERY,PEDIA,OBGYN,PREV MED,LEGAL MED
S001,21.0,17.25,14.75,22.0,,16.333333333333332,19.0,18.75,,19.75,32.333333333333336,33.333333333333336
S002,18.0,24.0,20.333333333333332,29.0,27.0,16.0,,,17.0,13.0,,
S003,25.0,30.333333333333332,21.25,20.5,20.25,23.5,17.8,19.75,23.75,21.6,26.25,27.0
S004,19.333333333333332,21.5,22.0,17.75,22.0,17.0,19.75,18.0,21.75,19.25,23.0,29.25
S005,,31.0,16.0,16.0,18.0,12.0,,,,,14.0,
S006,20.0,17.333333333333332,23.666666666666668,23.0,16.333333333333332,15.666666666666666,18.0,,22.0,,,
S007,25.666666666666668,32.333333333333336,24.75,20.0,21.333333333333332,23.0,24.0,26.0,16.0,23.0,22.0,24.333333333333332
S008,10.0,14.0,17.333333333333332,28.0,12.0,,,,,,,25.0
S009,33.333333333333336,30.2,24.25,31.5,21.666666666666668,23.25,31.5,30.5,31.0,23.8,34.25,36.4
S010,18.0,20.0,17.0,16.0,23.0,17.666666666666668,,,8.0,,20.0,
S011,,,,,,,,,,,,
S012,20.0,,17.0,17.0,16.0,,17.0,19.333333333333332,16.333333333333332,22.0,16.0,27.0
S013,24.333333333333332,23.6,22.6,19.8,23.4,17.2,17.0,19.5,20.25,20.0,24.6,32.0
S014,16.0,23.333333333333332,19.0,17.5,22.5,26.0,20.6,,19.0,14.5,17.0,18.0
S015,41.0,35.0,24.0,23.0,14.0,8.0,19.0,26.666666666666668,24.25,19.4,30.333333333333332,25.4
S016,13.666666666666666,14.0,14.666666666666666,14.0,15.0,10.0,15.6,19.333333333333332,16.666666666666668,15.333333333333334,20.666666666666668,24.0
S017,24.0,34.0,,21.0,25.0,20.0,22.333333333333332,28.666666666666668,33.666666666666664,25.0,29.666666666666668,34.0
S018,37.333333333333336,37.333333333333336,31.5,34.166666666666664,33.0,32.333333333333336,32.166666666666664,32.666666666666664,36.333333333333336,30.5,36.166666666666664,32.166666666666664
S019,,26.0,14.333333333333334,20.5,17.666666666666668,23.333333333333332,20.333333333333332,17.666666666666668,34.0,20.0,24.0,27.666666666666668
S020,42.0,34.5,36.25,46.0,39.333333333333336,35.333333333333336,35.666666666666664,43.0,37.0,33.0,37.333333333333336,44.0
S021,22.666666666666668,25.833333333333332,21.75,20.8,18.4,18.25,22.4,25.75,29.5,22.25,21.333333333333332,28.8
S022,25.0,25.333333333333332,25.0,25.0,20.666666666666668,12.0,18.0,,,,,
S023,16.0,14.0,,,,,20.0,,,,,
S024,21.8,31.0,22.5,20.75,26.75,27.333333333333332,21.5,19.0,21.2,21.4,23.333333333333332,27.0
S025,,,,,,,,,,,,
S026,27.6,26.0,23.6,21.4,25.75,18.75,18.8,22.5,25.25,21.0,24.4,29.0
S027,31.5,38.8,29.2,31.0,31.75,33.5,26.2,31.5,34.25,27.4,31.75,37.0
S028,,,,,,,,,,,,
S029,7.0,10.0,13.0,16.0,23.0,13.0,,,,9.0,18.0,
S030,,,13.0,,,,,,,,,
S031,,,,,,,,,,,,
S032,22.333333333333332,24.0,27.333333333333332,21.666666666666668,25.333333333333332,25.0,16.0,20.333333333333332,24.5,21.0,13.0,20.333333333333332
S033,,,,,,,,,,,,
S034,18.0,15.0,20.0,20.0,,13.0,19.0,21.333333333333332,14.0,20.75,,
S035,,,,,18.0,,,,,,,
S036,21.666666666666668,35.0,23.0,24.0,34.0,36.0,32.0,,,,,
S037,,,,,,,,,,,,
S038,17.0,29.2,20.2,22.0,20.333333333333332,15.0,11.0,21.0,15.0,18.0,21.0,23.0
S039,,25.0,,,21.0,,21.333333333333332,17.666666666666668,27.333333333333332,28.0,30.0,37.0
S040,31.5,33.25,27.333333333333332,33.0,27.75,23.5,17.0,21.666666666666668,15.0,18.333333333333332,17.666666666666668,24.666666666666668
S041,13.0,23.25,16.4,20.5,18.75,22.5,19.0,18.0,22.25,18.2,,21.0
S042,,,,,,,,,,,,
S043,25.0,30.0,27.0,27.0,25.333333333333332,24.0,23.75,24.0,36.0,35.0,28.75,39.333333333333336
